Entry_No,Sample_ID,Reference Doi,Reference Short,Rocktype,Craton,Country,Specific Location,Mineral,Garnet_type,SiO2,TiO2,Al2O3,CaO,Cr2O3,FeO,Fe2O3,MgO,MnO,Na2O,Ni,Sr,T,P
2,Bo-02,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G10,41.9,0.003042614,20.65,4.04,4.78,6.102,0.187,21.98,0.33,0.03,27.32,1.12,912.26,37.57
3,Bo-03,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,42.02,0.003199416,21.25,4.99,3.84,6.131,0.188,21.46,0.31,0.03,47.49,0.74,993.2,41.89
4,Bo-04,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.44,0.005991815,20,5.02,5.91,6.073,0.185,20.36,0.37,0.05,37.98,1.87,983.03,40.48
7,Bo-08,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Porphyroclastic Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G11,42.23,0.40584873,21.88,4.39,2.53,7.26,0.189,21.31,0.38,0.08,37.82,0.24,1195.75,53.28
9,Bo-12,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.7,0.005076028,19.26,6.06,6.26,6.334,0.296,20.46,0.33,0.02,48.37,1.98,1026.96,46.46
10,Bo-13,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Porphyroclastic Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.13,0.006875908,20.28,5.36,4.77,5.271,0.699,21.1,0.34,0.03,29.28,2.73,1127.75,51.38
11,Bo-14,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.97,0.06989339,21.46,4.72,3.4,7.461,0.187,20.45,0.49,0.04,19.23,0.44,897.63,36.66
13,Bo-18,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,41.68,0.03536372,20.36,4.99,4.6,6.083,0.186,21.24,0.33,0.05,34.84,3.48,996.86,40.05
15,Bo-20,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G10,41.06,0.007591523,18.93,4.87,6.16,5.855,0.183,21.03,0.32,0.05,62.13,1.82,1011.9,40.07
16,Bo-21,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,40.96,0.004909218,20.41,5.19,4.91,6.592,0.265,20.38,0.37,0.04,43.51,3.57,974.97,40.19
17,Bo-26,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,40.8,0.08357181,22.3,4.53,2.26,7.487,0.737,20.18,0.44,0.05,18.85,10.56,947.6,39.39
19,Bo-30,https://doi.org/10.1007/s00410-008-0348-3,Creighton et al 2009,Porphyroclastic Peridotite,Kalahari,South Africa,Bultfontein,Garnet,G9,40.76,0.006964318,19.42,5.74,6.03,5.786,0.182,19.56,0.39,0.04,58.51,7.35,1039.93,55.27
70,AT1104,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Garnet Harzburgite Coarse,Kalahari,South Africa,Venetia,Garnet,G10,42.8,0.07,18.5,3.45,7.64,5.622,0.187,21.8,0.3,0.04,522,6.3,1029.81,51.35
81,AT1101,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Spinel Garnet Lherzolite,Kalahari,South Africa,Venetia,Garnet,G9,42.2,0,20.6,5.86,4.54,6.813,0.186,19.7,0.32,,146,1.4,915.17,39.21
87,Box49,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Spinel Garnet Lherzolite,Kalahari,South Africa,Venetia,Garnet,G9,42.49,0,18.73,6.12,7.11,6.912,0.187,19.53,0.48,0.02,238,3.2,1006.06,50.27
91,AT1102,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Garnet Lherzolite,Kalahari,South Africa,Venetia,Garnet,G11,42.2,0.48,19.4,4.93,4.61,7.274,0.185,20.2,0.26,0.04,304,30,1277.45,54.07
100,B99-56,https://doi.org/10.1016/j.lithos.2009.06.020,Hin et al 2009,Garnet Lherzolite,Kalahari,South Africa,Venetia,Garnet,G9,42.5,0.13,18.6,5.9,6.67,5.943,0.185,20,0.25,,402,1,1453.37,64.75
107,JAG1,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,South Africa,Jagersfontein,Garnet,G11,42.44,0.537011433,20.9,4.75,2.17,6.702,0.187,21.82,0.25,0.06,116,0.3753,1365.82,61.42
125,LIQ5,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,Lesotho,Liqhobong,Garnet,G9,42.2,0.022469307,20.1,5.7,5.9,6.131,0.188,21.1,0.01,,46,0.61,1012.63,43.01
129,LIQ11,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,Lesotho,Liqhobong,Garnet,G9,41.63,0.007106106,20.17,5.38,4.57,5.733,0.741,21.18,0.31,0.02,44,0.358,1173.64,51.53
133,LIQ1,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,Lesotho,Liqhobong,Garnet,G9,42.26,0.13,19.72,4.74,5.09,6.472,0.186,21.3,0.32,0.04,55,0.457,956.94,38.11
137,LIQ10,http://dx.doi.org/10.1016/j.gca.2008.03.019,Peslier et al 2008,Granoblastic Unsheared Peridotite,Kalahari,Lesotho,Liqhobong,Garnet,G9,42.35,0.25,19.95,4.49,4.42,6.442,0.187,21.73,0.33,0.07,35,0.6757,953.18,39.09
390,Pra399,https://doi.org/10.1093/petrology/egp021,Bjerg 2009,Spinel-Garnet Peridotite,Non Cratonic,Argentina,Patagonia,Garnet,G9,42.3,0.26,23.1,5.1,1.06,7.331,0.188,20.4,0.32,,64.3,0.46,1207.68,22.32
419,JJG2513,https://doi.org/10.1016/j.lithos.2004.03.010,Boyd 2004,COARSEGARNETLHERZOLITE,Rehoboth,Namibia,Louwrensia,Garnet,G9,42.02,0.013494929,21.44,5.5,3.41,7.063,0.752,20.81,0.41,0,,0.06,1073.76,42.47
424,E-11,https://doi.org/10.1016/j.lithos.2004.03.010,Boyd 2004,COARSEGARNETLHERZOLITE,Rehoboth,Namibia,Louwrensia,Garnet,G9,41.84,0.03236114,20.35,6.05,4.93,6.767,0.748,20.27,0.38,0.01,,0.129,1028.29,43.46
454,17679,https://doi.org/10.1016/j.lithos.2019.105301,Czas 2020,,Sask Craton,Canada,Fort a la Corne,Garnet,G9,41.77666667,0.24931923,20.93,4.81,3.38,7.684,0.185,19.98,0.4,0.05,39.13333333,0.22,908.58,23.65
494,176983,https://doi.org/10.1016/j.lithos.2019.105301,Czas 2020,,Sask Craton,Canada,Fort a la Corne,Garnet,G11,42.285,0.718250498,21.305,4.555,2.535,7.087,0.187,20.835,0.305,0.06,108.15,0.43,1121.24,50.49
817,BD730,https://doi.org/10.1093/petrology/egt020,Gibson 2013,Banded garnet harzburgite,Tanzania,Tanzania,Lashaine Tuff Cone,Garnet,G9,42.33090909,0.092697985,21.91818182,5.245454545,3.093636364,7.351,0.189,20.76181818,0.367272727,,41.34142857,0.308571429,1039.49,42.04
835,BD794,https://doi.org/10.1093/petrology/egt020,Gibson 2013,Banded garnet harzburgite,Tanzania,Tanzania,Lashaine Tuff Cone,Garnet,G9,41.74857143,0.040101124,20.91714286,5.147142857,4.565714286,6.042,0.75,21.45714286,0.325714286,,52.85,1.617142857,1204.83,52.52
852,BD812,https://doi.org/10.1093/petrology/egt020,Gibson 2013,Banded garnet harzburgite,Tanzania,Tanzania,Lashaine Tuff Cone,Garnet,G9,41.37625,0.099065123,19.8825,5.63,5.5725,5.825,0.742,20.855,0.36125,,40.44625,0.505,1095.66,44.18
870,BD775,https://doi.org/10.1093/petrology/egt020,Gibson 2013,Banded garnet harzburgite,Tanzania,Tanzania,Lashaine Tuff Cone,Garnet,G10,43.10882353,0.005816665,19.72,3.078235294,5.541764706,5.978,0.19,23.39823529,0.343529412,,50.53428571,9.872857143,1017.52,40.82
878,BD3936,https://doi.org/10.1093/petrology/egt020,Gibson 2013,Banded garnet harzburgite,Tanzania,Tanzania,Lashaine Tuff Cone,Garnet,G10,42.55857143,0.02735684,21.05142857,3.632857143,4.87,6.249,0.19,22.54428571,0.331428571,,44.02666667,3.39,1041.25,42.69
893,BD3928b,https://doi.org/10.1093/petrology/egt020,Gibson 2013,Banded garnet harzburgite,Tanzania,Tanzania,Lashaine Tuff Cone,Garnet,G10,43.86142857,0.02285297,23.33785714,0.243571429,2.475,4.042,0.195,26.95642857,0.174285714,,63.42,0.37125,926.83,34.02
977,BD1367,doi:10.1180/minmag.2016.080.158,Gibson 2017,Xenolith,Kalahari,South Africa,.,Garnet,G9,42.42,0,21.77,4.82,2.91,7.311,0.187,20.5,0.48,0.02,,,802.28,29.7
980,BD1366,doi:10.1180/minmag.2016.080.158,Gibson 2017,Xenolith,Kalahari,South Africa,.,Garnet,G9,41.72,0,22,4.98,2.55,6.96,0.277,20.96,0.14,0.01,,,765.21,35.79
983,BD1954,doi:10.1180/minmag.2016.080.158,Gibson 2017,Megacryst,Kalahari,South Africa,.,Garnet,G9,41.34,0.07,19.45,5.47,5.52,8.425,0.184,19.21,0.44,0.02,,,915.46,38.45
994,BD3635,doi:10.1180/minmag.2016.080.158,Gibson 2017,Xenolith,Kalahari,South Africa,.,Garnet,G9,41.19,0.162055915,19.77,5.18,4.15,11.666,0.182,17.45,0.47,0.07,38.145,0.9975,863.19,39.33
1001,BD1951,doi:10.1180/minmag.2016.080.158,Gibson 2017,Megacryst,Kalahari,South Africa,.,Garnet,G9,42.16,0.02,20.99,4.74,4.01,6.622,0.187,21.16,0.32,0.03,,,920.46,37.28
1012,BD1959,doi:10.1180/minmag.2016.080.158,Gibson 2017,Megacryst,Kalahari,South Africa,.,Garnet,G9,41.36,0.157426938,19.54,5.47,5.63,8.384,0.184,19.14,0.47,0.05,71.65,6.1625,943.55,44.25
1019,BD1940,doi:10.1180/minmag.2016.080.158,Gibson 2017,Megacryst,Kalahari,South Africa,.,Garnet,G9,42.12,0.05,21.34,4.79,3.7,6.257,0.337,21.52,0.34,0.07,,,922.12,37.73
1028,BD1942,doi:10.1180/minmag.2016.080.158,Gibson 2017,Megacryst,Kalahari,South Africa,.,Garnet,G9,42.6,0.023131543,22.22,4.46,2.75,5.86,0.189,22.1,0.28,0.04,46.2,2.79,943.19,37.37
1034,BD1945,doi:10.1180/minmag.2016.080.158,Gibson 2017,Megacryst,Kalahari,South Africa,.,Garnet,G9,42.15,0.03,20.5,5.1,4.26,6.872,0.186,20.67,0.37,0.03,,,904.56,38.38
1037,BD1946,doi:10.1180/minmag.2016.080.158,Gibson 2017,Megacryst,Kalahari,South Africa,.,Garnet,G9,42.56,0.11,21.9,4.41,2.59,6.38,0.188,21.84,0.32,0.03,,,966.14,38.96
1049,BD2379,https://doi.org/10.1093/petrology/44.4.629,Gregoire 2003,,Kalahari,South Africa,.,Garnet,G9,41.8,0.0383663,21.3,5.41,4.16,7.662,0.186,19.7,0.39,0.02,23,0.4,829.19,33.16
1050,BD2421,https://doi.org/10.1093/petrology/44.4.629,Gregoire 2003,,Kalahari,South Africa,.,Garnet,G10,41.1,0.02518831,19.9,4.66,5.59,6.334,0.306,21,0.28,0.03,44,0.43,972.05,38.44
1051,BD2425,https://doi.org/10.1093/petrology/44.4.629,Gregoire 2003,,Kalahari,South Africa,.,Garnet,G9,41.7,0.02969218,22.9,4.53,1.56,8.473,0.186,19.9,0.31,0.02,26,0.29,877.46,33.85
1062,BD2308,https://doi.org/10.1093/petrology/44.4.629,Gregoire 2003,,Kalahari,South Africa,.,Garnet,G9,42.3,0.01934996,21.9,5.34,4.89,6.8,0.189,20,0.26,0.02,40,0.51,888.64,34.65
1063,BD2358,https://doi.org/10.1093/petrology/44.4.629,Gregoire 2003,,Kalahari,South Africa,.,Garnet,G9,42,0.05604816,22.5,4.56,2.18,8.242,0.187,20.1,0.47,0.04,20,0.38,806.21,36.33
1600,13Gr1-749-6,https://doi.org/10.1007/s00410-021-01863-9,Kargin 2021,harzburgite,Baltic,Russia,Grib,Garnet,G9,41.44592593,0.133703704,20.34,5.921851852,5.101851852,7.271,0.184,18.80814815,0.501481481,0.024166667,,,860.98,39.59
2061,Gr-14,https://doi.org/10.1016/j.lithos.2016.07.015,Kargin 2016,harzburgite,Baltic,Russia,Grib,Garnet,G9,41.43,0.156666667,20.65,5.106,3.736666667,9.287,0.625,18.86933333,0.532666667,0.145333333,,,750.98,33.67
2093,Gr106-664.5n,https://doi.org/10.1016/j.gsf.2018.12.006,Kargin 2021,sheared lherzolite,Baltic,Russia,Grib,Garnet,G11,41.53772727,0.788636364,20.56318182,4.743636364,3.025454545,8.144,0.184,19.88545455,0.379090909,0.095,,,1217.48,58.43
2349,Hunt1b1,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.96,0.24,22.72,4.14,1.62,6.74,0.667,21.79,0.28,0.06,28.44,,980.93,46.74
2363,Hunt21,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.08,0.27,17.23,6.94,8.59,6.935,0.183,18.82,0.43,0.04,21.81,,1024.12,56.27
2368,Hunt22,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41.2,0.03,17.42,5.81,8.73,6.755,0.184,19.89,0.42,0.02,22.26,,972.86,50.88
2375,Hunt5,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41,0.17,18.11,6.58,7.66,6.965,0.183,19.12,0.42,0.03,28.17,,980.03,45.71
2379,Hunt6,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.56,0.18,19.51,5.37,5.79,6.923,0.185,20.25,0.4,0.04,27.62,,975.08,52.46
2391,Hunt75,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.57,0.02,18.24,5.51,8.02,6.434,0.185,20.09,0.41,0.01,24.51,,996.78,53.22
2395,Hunt77,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,42.11,0.11,22.46,5.15,2.4,6.206,0.716,21.46,0.31,0.03,58.06,,1107.67,52.27
2399,Hunt79,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,40.68,0.07,15.06,7.46,11.73,6.115,0.728,18.9,0.42,0.03,56.33,,1144.41,58.45
2413,Hunt112,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.44,0.17,19.82,6.1,5.46,7.759,0.356,19.43,0.45,0.03,25.26,,993.99,47.56
2422,Hunt141,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41.67,0.1,20.19,5.52,5.13,7.053,0.186,20.35,0.39,0.03,25.68,,965.43,46.18
2425,Hunt142,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41.63,0.1,20.27,5.46,4.94,7.033,0.186,20.25,0.39,0.03,28.66,,969.34,47.2
2452,Hunt23,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41.89,0.35,22.22,4.23,2.05,7.232,0.187,21.29,0.37,0.08,24.65,,931.53,44.56
2456,Hunt24,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Harz.,Superior,Canada,Renard,Garnet,G10,41.87,0.14,19.89,4.37,5.59,7.103,0.186,20.73,0.4,0.05,,,901.69,38.66
2459,Hunt251,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41.63,0.15,20.82,5.23,3.89,8.223,0.186,19.91,0.43,0.03,23.65,,918.28,41.5
2476,Hunt282,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,40.98,0.02,18.14,7.05,7.92,6.38,0.667,19.19,0.4,0.02,69.59,,1110.8,53.86
2478,Hunt283,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,40.83,0.03,17.73,7.28,8.32,6.351,0.733,19,0.42,0.02,131.39,,1152.6,59.38
2484,Hunt30,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41.98,0.24,21.87,4.73,2.83,7.645,0.372,20.86,0.38,0.05,30.12,,979.6,43.57
2487,Hunt31,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41.96,0.22,22.36,4.66,2.27,6.738,0.491,21.41,0.32,0.05,34.99,,1111.29,47.58
2491,Hunt32,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.4,0.14,20.49,5.64,4.68,7.74,0.744,19.91,0.45,0.04,171.82,,1039.32,48.3
2495,Hunt332,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.61,0.16,20.41,4.77,4.57,7.127,0.214,20.85,0.38,0.04,43.83,,1093.36,48.76
2500,Hunt341,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.66,0.22,20.52,5.56,4.74,6.371,0.599,20.78,0.38,0.04,73.34,,1077.04,52.19
2515,Hunt372,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Harz.,Superior,Canada,Renard,Garnet,G10,41.06,0.03,19.2,2.36,6.41,6.965,0.183,22.15,0.41,0.02,22.53,,879.06,50.62
2518,Hunt39,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,41.44,0.21,22.12,4.37,1.88,7.482,0.742,20.87,0.39,0.05,25.91,,1059.21,49.6
2521,Hunt40,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.14,0.34,19.81,5.91,4.99,8.046,0.627,19.23,0.46,0.05,30.03,,1081.15,56.31
2524,Hunt411,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.01,0.18,19.73,5.67,5.34,7.025,0.183,19.73,0.39,0.03,23.29,,1024.96,54.67
2533,Hunt421,https://doi.org/10.1093/petrology/egs027,Hunt 2012,lherz.,Superior,Canada,Renard,Garnet,G9,41.74,0.05,21.92,4.61,2.77,7.963,0.186,20.27,0.51,0.03,9.76,,798.6,37.76
2537,Hunt422,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Harz.,Superior,Canada,Renard,Garnet,G10,41.46,0.01,19.44,2.45,6.31,6.194,0.185,22.69,0.38,0.02,22.04,,885.74,44.34
2539,Hunt431,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,40.67,0.03,17.22,7.34,8.76,6.717,0.181,18.17,0.42,0.01,23.44,,1025.62,55.17
2541,Hunt432,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Harz.,Superior,Canada,Renard,Garnet,G10,42.29,0,20.41,1.52,5.47,6.441,0.188,23.61,0.38,0.01,20.74,,866.32,43.02
2565,Hunt512,https://doi.org/10.1093/petrology/egs027,Hunt 2012,Lherz.,Superior,Canada,Renard,Garnet,G9,40.98,0.1,18.43,6.17,7.12,7.015,0.183,19.41,0.43,0.03,24.14,,973.99,48.94
2724,Gibtown931/1,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,Gibtown93_1/1_,Garnet,G9,42.51,0.25,20.42,5.26,4.44,7.351,0.188,20.55,0.4,0.05,35,0.23,1014.97,40.85
2728,Gibtown9311,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,Gibtown93_11_,Garnet,G9,42.11,0.3,20.2,5.27,4.39,7.432,0.187,20.47,0.4,0.06,25,0.2,941.87,37.54
2731,SKGGIV,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,SKGG_IV_,Garnet,G9,42.29,0.25,21.2,4.94,3.15,7.841,0.187,20.58,0.39,0.05,23,0.16,918.91,42.12
2736,SKGGIvb,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,SKGG_Ivb_,Garnet,G9,41.89,0.09,19.96,5.34,5.57,6.205,0.75,21.2,0.38,0.02,41,0.37,1137.49,42.98
2740,SKGGIvc,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,SKGG_Ivc,Garnet,G9,42.43,0.17,20.56,5.4,4.71,6.029,0.546,21.59,0.31,0.04,65,0.4,1202.85,43.31
2746,SKGGIve,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,SKGG_Ive,Garnet,G9,42.76,0.06,22.06,4.88,2.69,7.889,0.19,21.09,0.39,0.02,41,0.1,905.16,38.11
2758,KGG91-46,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,KGG_91-46_,Garnet,G9,42.96,0.1,21.31,5.21,3.83,5.798,0.191,22.17,0.29,0.01,75,0.24,1202.69,41.72
2766,KGG91-62,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,KGG_91-62_,Garnet,G9,42.22,0.33,19.62,5.56,5.18,8.252,0.187,19.89,0.42,0.06,32,1.64,903.56,48.03
2770,KGG91-65,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,KGG_91-65_,Garnet,G9,42.26,0.29,20.28,5.29,4.55,7.421,0.188,20.69,0.39,0.05,32,0.18,938.01,38.91
2774,KHA91-29,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,KHA_91-29_,Garnet,G9,42.51,0.01,22.43,5.4,2.12,7.93,0.189,20.28,0.49,0.01,18,0.04,837.08,25.23
2781,KHA91-94,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,KHA_91-94_,Garnet,G9,42.03,0.27,20.77,5.28,3.29,8.073,0.186,19.88,0.41,0.04,27,0.23,933.59,37.13
2784,KHA91-100,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,KHA_91-100_,Garnet,G9,42.83,0.14,21.68,4.94,3.08,7.639,0.19,21.2,0.39,0.03,37,0.14,925.72,32.52
2788,HAN93-20,https://doi.org/10.1016/j.precamres.2013.03.006,Luchs 2013,Gar Period,Rehoboth,Namibia,HAN_93-20_,Garnet,G11,42.15,0.77,19.27,5.96,5.01,7.182,0.187,20.4,0.28,0.06,120,0.76,1295.84,41.82
2842,DJ0256,https://doi.org/10.1016/j.gca.2008.08.020,Rehfeldt 2008,Wehrlite,Kalahari,South Africa,Kimberley,Garnet,G11,41.01,1.217713,18.31,6.54,5.32,7.075,0.183,19.64,0.32,,82,15,1128.38,50.87
2845,DJ0215,https://doi.org/10.1016/j.gca.2008.08.020,Rehfeldt 2008,Websterite,Kalahari,South Africa,Kimberley,Garnet,G9,41,0.0700602,20.93,5.49,2.69,9.807,0.67,18.32,0.57,,26,0.29,922.49,41.79
2846,DJ0216,https://doi.org/10.1016/j.gca.2008.08.020,Rehfeldt 2008,Websterite,Kalahari,South Africa,Kimberley,Garnet,G9,41.19,0.1618057,21.12,4.84,2.35,10.357,0.515,18.66,0.56,,27,0.47,879.41,40.87
2847,DJ0217,https://doi.org/10.1016/j.gca.2008.08.020,Rehfeldt 2008,Websterite,Kalahari,South Africa,Kimberley,Garnet,G9,40.61,0.216853,19.94,5.26,3.51,11.268,0.713,17.53,0.47,,30,0.9,954.5,47.05
3016,K1,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G9,42.29,0.0450387,20.955,4.83,3.93,6.497,0.186,20.735,0.365,0.02,,0.455,857.26,34.26
3019,K13,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G9,42.065,0.03302838,19.695,5.39,5.35,6.749,0.185,20,0.385,0.025,,0.92,926.73,38.2
3026,K14,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G9,41.94,0.00400344,20.365,5.635,4.735,6.743,0.185,19.82,0.39,0.015,,1.19,969.47,42.71
3029,K18,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G10,41.885,0.275,19.815,4.715,5.74,5.362,0.186,21.685,0.33,0.05,,,1047.92,45.14
3034,K24,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G9,42.155,0.01100946,20.88,5.275,3.985,6.892,0.187,20.595,0.335,0.01,,0.65,972.54,41.51
3037,K25,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G9,42.105,0.015,20.825,5.04,4.235,6.347,0.187,21.115,0.32,0.025,,,972.02,38.2
3040,K27,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G9,41.85,0.02702322,20.3,5.43,4.6,6.873,0.185,20.355,0.33,0.015,,1.9,1009.46,42.11
3043,GP402,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,Lesotho,Lesotho,Garnet,G10,42.81,0.00433706,21.985,4.095,3.1,5.429,0.19,22.65,0.285,0.02,,0.83,1063.47,44.46
3046,K15,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G10,42.36,0.07,21.41,4.09,3.28,7.407,0.187,20.865,0.48,0.04,,,834.41,32.93
3051,K17,https://doi.org/10.1093/petrology/egl074,Simon 2007,Coarse,Kalahari,South Africa,Kimberley,Garnet,G9,42.515,0.05704902,20.275,4.845,4.575,6.002,0.187,21.175,0.39,0.02,,1.3,1074.98,47.28
3054,K3,https://doi.org/10.1093/petrology/egl074,Simon 2007,Strained,Kalahari,South Africa,Kimberley,Garnet,G9,42.18,0.39100264,21.64,4.435,1.805,9.653,0.185,19.215,0.37,0.055,,0.41,920.59,37.54
3059,K19,https://doi.org/10.1093/petrology/egl074,Simon 2007,Strained,Kalahari,South Africa,Kimberley,Garnet,G9,42.12,0.06105246,21.77,4.695,2.705,8.328,0.186,19.8,0.43,0.025,,1.725,868.95,34.91
3064,K21,https://doi.org/10.1093/petrology/egl074,Simon 2007,Strained,Kalahari,South Africa,Kimberley,Garnet,G9,42.285,0.06855891,22.18,4.59,2.365,8.442,0.187,19.92,0.45,0.025,,1.5,865.35,35.48
